energy_kcal_value,energy_kj_value,carbohydrates_value,sugars_value,fat_value,saturated_fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova_group,nutrition_score_fr,fruits_vegetables_nuts_estimate_from_ingredients_100g,product_code,product_name,brands,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
0.0,20.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,6111035000430,Sidi Ali,Sidi Ali,0.3333333333333333,Low Calories,Moderate Sugar,No
97.0,406.0,9.4,4.1,3.0,1.4,8.0,2.5,0.3725,0.149,3.0,7.0,0.0,6111242100992,Perly,Jaouda,0.0,Low Calories,High Sugar,No
242.0,1189.0,15.1,4.1,6.2,1.4,5.7,2.5,65.0,26.0,4.0,0.0,0.0,6111035002175,Sidi Ali,sidi ali,0.0,High Calories,High Sugar,No
242.0,1189.0,15.1,4.1,6.2,1.4,5.7,2.5,65.0,26.0,1.0,0.0,0.0,6111035000058,Eau minérale naturelle,"Les Eaux Minérales d'oulmès,Sidi Ali",0.0,High Calories,High Sugar,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00508,0.002032,4.0,0.0,0.0,6111252421568,اكوافينا,AQUAFINA,0.0,Low Calories,Low Sugar,No
45.0,188.0,4.9,0.0,1.5,1.0,3.1,2.5,0.225,0.09,3.0,-3.0,0.0,6111266962187,Lait,Jaouda,0.0,Low Calories,Low Sugar,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,21.0,1.0,0.0,0.0,3274080005003,Eau De Source,Cristaline,0.0,Low Calories,Low Sugar,No
80.6,337.0,6.1,0.0,12.0,0.0,7.3,0.0,0.0,0.0,3.0,-2.0,0.0,6111246721261,Fromage blanc nature,MILKY FOOD PROFESSIONAL,0.0,Low Calories,Low Sugar,No
58.0,1189.0,4.8,0.0,3.0,0.0,3.0,2.5,0.0,0.0,1.0,-1.0,0.0,6111242101180,uht jaouda 1L,Jaouda,0.0,Low Calories,Low Sugar,No
235.0,984.0,3.5,0.0,21.0,15.0,8.0,0.0,0.46,0.184,4.0,11.0,0.0,6111242106949,Jben,Jaouda,0.0,High Calories,Low Sugar,Yes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6111128000071,Ain Saïss,Danone,0.0,Low Calories,Low Sugar,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6111035502828,Eau minéral naturelle,Ain atlas,0.0,Low Calories,Low Sugar,No
0.0,1189.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0065,0.0026,4.0,0.0,0.0,6111035000027,6111035000027,Sidi Ali,0.0,Low Calories,Low Sugar,No
260.0,1100.0,30.0,1.2,0.5,0.1,34.0,2.5,10.8,4.32,4.0,23.0,0.734863281249993,50184453,Marmite Yeast Extract,"Marmite,Unilever",0.04,High Calories,Low Sugar,Yes
101.0,1189.0,4.2,0.0,6.0,0.0,7.6,0.0,0.0,0.0,3.0,-2.0,0.0,6111242100985,Missing,Jaouda,0.0,Moderate Calories,Low Sugar,No
45.0,1189.0,4.8,0.0,1.5,1.0,3.0,2.5,0.0,0.0,1.0,-3.0,0.0,6111032009665,Lait Frais,centrale danone,0.0,Low Calories,Low Sugar,No
675.0,1189.0,0.2,0.0,75.0,34.0,0.1,0.0,0.5,0.2,4.0,18.0,0.0,6111099003897,Missing,lilia,0.0,High Calories,Low Sugar,No
42.0,180.0,10.6,10.6,0.0,0.0,0.0,2.5,0.0,0.0,4.0,12.0,0.0,5449000054227,Original Taste,Coca-Cola,1.0,Low Calories,Moderate Sugar,Yes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,6111252421582,اكوافينا,pepsi,0.0,Low Calories,Low Sugar,No
467.0,1962.0,69.0,32.0,17.0,5.6,6.3,4.0,0.49,0.196,4.0,20.0,6.80681818181818,7622210449283,Prince Goût Chocolat,Lu,0.463768115942029,High Calories,High Sugar,Yes
592.0,1189.0,14.0,7.0,55.0,30.0,10.0,2.5,0.03,0.012,3.0,19.0,0.0,3046920029759,Edelbitterschokolade Mild 90%,Lindt&Sprüngli,0.5,High Calories,Moderate Sugar,No
566.0,2350.0,34.0,30.0,41.0,24.0,9.5,2.5,0.1,0.04,3.0,25.0,0.0,3046920028004,Excellence 70% Cocoa Intense Dark,Lindt,0.8823529411764706,High Calories,High Sugar,No
242.0,1189.0,15.1,4.1,6.2,1.4,5.7,2.5,0.78375,0.3135,4.0,0.0,0.0,6111035003035,Oulmes natural carbonated water,Les eaux minérales d'Oulmès S.A.,0.0,High Calories,High Sugar,No
539.0,2252.0,57.5,56.3,30.9,10.6,6.3,2.5,0.107,0.0428,4.0,31.0,13.0,3017620425035,Nutella,Ferrero,0.9791304347826086,High Calories,High Sugar,Yes
39.0,165.0,9.3,17.0,0.0,0.0,0.0,5.0,0.126,0.0504,4.0,15.0,22.7272727272727,5449000147417,Orange juice,Coca cola,1.8279569892473118,Low Calories,High Sugar,Yes
